time_s,Z,N,E,H
0.00,392.946867,-921.123333,-1143.838867,-7137.918533
0.01,390.946867,-908.123333,-1128.838867,-7245.918533
0.02,386.946867,-911.123333,-1121.838867,-7358.918533
0.03,388.946867,-901.123333,-1121.838867,-7466.918533
0.04,385.946867,-895.123333,-1111.838867,-7579.918533
0.05,387.946867,-889.123333,-1107.838867,-7699.918533
0.06,383.946867,-872.123333,-1094.838867,-7824.918533
0.07,379.946867,-879.123333,-1085.838867,-7954.918533
0.08,372.946867,-872.123333,-1078.838867,-8074.918533
0.09,371.946867,-870.123333,-1060.838867,-8195.918533
0.10,370.946867,-861.123333,-1060.838867,-8312.918533
0.11,356.946867,-851.123333,-1047.838867,-8432.918533
0.12,358.946867,-848.123333,-1045.838867,-8557.918533
0.13,352.946867,-841.123333,-1039.838867,-8680.918533
0.14,353.946867,-836.123333,-1035.838867,-8802.918533
0.15,342.946867,-825.123333,-1028.838867,-8930.918533
0.16,337.946867,-820.123333,-1013.838867,-9061.918533
0.17,331.946867,-819.123333,-1011.838867,-9192.918533
0.18,326.946867,-811.123333,-1002.838867,-9337.918533
0.19,326.946867,-807.123333,-1000.838867,-9472.918533
0.20,313.946867,-798.123333,-988.838867,-9603.918533
0.21,315.946867,-797.123333,-987.838867,-9731.918533
0.22,306.946867,-791.123333,-987.838867,-9868.918533
0.23,297.946867,-785.123333,-979.838867,-10003.918533
0.24,291.946867,-771.123333,-986.838867,-10149.918533
0.25,287.946867,-769.123333,-976.838867,-10306.918533
0.26,290.946867,-763.123333,-975.838867,-10462.918533
0.27,271.946867,-756.123333,-969.838867,-10619.918533
0.28,269.946867,-752.123333,-961.838867,-10766.918533
0.29,264.946867,-738.123333,-958.838867,-10907.918533
0.30,256.946867,-725.123333,-953.838867,-11045.918533
0.31,244.946867,-720.123333,-945.838867,-11187.918533
0.32,240.946867,-712.123333,-937.838867,-11329.918533
0.33,226.946867,-709.123333,-944.838867,-11463.918533
0.34,224.946867,-704.123333,-935.838867,-11594.918533
0.35,219.946867,-706.123333,-930.838867,-11704.918533
0.36,210.946867,-698.123333,-935.838867,-11809.918533
0.37,198.946867,-687.123333,-929.838867,-11896.918533
0.38,193.946867,-674.123333,-923.838867,-11980.918533
0.39,182.946867,-664.123333,-921.838867,-12062.918533
0.40,177.946867,-658.123333,-923.838867,-12133.918533
0.41,165.946867,-657.123333,-931.838867,-12201.918533
0.42,160.946867,-645.123333,-928.838867,-12249.918533
0.43,148.946867,-637.123333,-935.838867,-12289.918533
0.44,148.946867,-634.123333,-935.838867,-12309.918533
0.45,133.946867,-627.123333,-941.838867,-12310.918533
0.46,126.946867,-621.123333,-951.838867,-12299.918533
0.47,118.946867,-627.123333,-945.838867,-12269.918533
0.48,106.946867,-618.123333,-957.838867,-12228.918533
0.49,102.946867,-611.123333,-975.838867,-12178.918533
0.50,85.946867,-607.123333,-984.838867,-12113.918533
0.51,77.946867,-607.123333,-997.838867,-12032.918533
0.52,69.946867,-604.123333,-1010.838867,-11940.918533
